anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL PROVINCIAL,TITULAR,FEMENINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CIVIL Y FAMILIA,FISCAL PROVINCIAL,TITULAR,MASCULINO,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CONTROL INTERNO,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CONTROL INTERNO,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CONTROL INTERNO,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CRIMEN ORGANIZADO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2020,12,04/01/2021,AMAZONAS,CRIMEN ORGANIZADO,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
