anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2021,12,18/01/2022,AMAZONAS,CONTROL INTERNO,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CONTROL INTERNO,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CONTROL INTERNO,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CRIMEN ORGANIZADO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CRIMEN ORGANIZADO,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,CRIMEN ORGANIZADO,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
2021,12,18/01/2022,AMAZONAS,FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
